# time, g
0,-0.0069382
0.00048828,-0.0069382
0.00097656,-0.036765
0.0015259,-0.023509
0.0020142,-0.0069382
0.0025024,-0.00030988
0.0029907,-0.00030988
0.003479,0.0096325
0.0040283,0.0063184
0.0045166,-0.00030988
0.0050049,-0.020195
0.0054932,-0.043394
0.0059814,-0.020195
0.0064697,-0.016881
0.007019,0.0030043
0.0075073,0.0063184
0.0079956,0.0096325
0.0084839,-0.010252
0.0089722,-0.013566
0.0095215,-0.033451
0.01001,-0.036765
0.010498,-0.0069382
0.010986,-0.00030988
0.011475,0.0063184
0.012024,-0.00030988
0.012512,-0.026823
0.013,-0.053336
0.013489,-0.036765
0.013977,-0.003624
0.014526,-0.010252
0.015015,0.0063184
0.015503,0.0063184
0.015991,0.012947
0.016479,-0.00030988
0.017029,-0.013566
0.017517,-0.013566
0.018005,-0.003624
0.018494,-0.00030988
0.018982,0.0030043
0.01947,0.0030043
0.02002,0.0030043
0.020508,0.0030043
0.020996,-0.013566
0.021484,-0.030137
0.021973,-0.0069382
0.022522,-0.00030988
0.02301,0.0030043
0.023499,-0.010252
0.023987,-0.003624
0.024475,0.0030043
0.025024,0.0030043
0.025513,-0.0069382
0.026001,-0.00030988
0.026489,-0.003624
0.026978,-0.00030988
0.027527,-0.00030988
0.028015,-0.013566
0.028503,0.0030043
0.028992,-0.016881
0.02948,0.0030043
0.029968,-0.003624
0.030518,-0.010252
0.031006,-0.00030988
0.031494,-0.00030988
0.031982,-0.003624
0.032471,-0.023509
0.03302,0.0030043
0.033508,0.0030043
0.033997,0.0030043
0.034485,-0.00030988
0.034973,-0.0069382
0.035522,-0.00030988
0.036011,-0.00030988
0.036499,-0.0069382
0.036987,0.0030043
0.037476,0.0030043
0.038025,0.0030043
0.038513,0.0030043
0.039001,-0.010252
0.03949,-0.0069382
0.039978,0.0030043
0.040527,-0.00030988
0.041016,-0.003624
0.041504,-0.003624
0.041992,-0.003624
0.04248,-0.00030988
0.042969,-0.013566
0.043518,-0.033451
0.044006,-0.00030988
0.044495,0.0030043
0.044983,0.0030043
0.045471,-0.00030988
0.046021,-0.0069382
0.046509,-0.013566
0.046997,-0.010252
0.047485,-0.003624
0.047974,-0.00030988
0.048523,0.0030043
0.049011,0.012947
0.0495,0.0063184
0.049988,0.0030043
0.050476,-0.003624
0.051025,-0.013566
0.051514,-0.030137
0.052002,-0.010252
0.05249,-0.00030988
0.052979,0.0096325
0.053528,0.0030043
0.054016,0.0030043
0.054504,-0.020195
0.054993,-0.0069382
0.055481,-0.0069382
0.055969,0.0030043
0.056519,0.0063184
0.057007,0.0030043
0.057495,0.0063184
0.057983,-0.016881
0.058472,-0.00030988
0.059021,0.0030043
0.059509,0.0030043
0.059998,0.0030043
0.060486,-0.00030988
0.060974,0.0030043
0.061523,0.0063184
0.062012,0.0030043
0.0625,0.0030043
0.062988,0.0030043
0.063477,0.0063184
0.064026,0.0063184
0.064514,0.0063184
0.065002,0.0030043
0.065491,0.0063184
0.065979,-0.020195
0.066528,-0.010252
0.067017,-0.00030988
0.067505,0.0030043
0.067993,0.012947
0.068481,0.0030043
0.06897,0.0030043
0.069519,0.0030043
0.070007,-0.00030988
0.070496,-0.0069382
0.070984,-0.010252
0.071472,0.0030043
0.072021,-0.00030988
0.07251,-0.00030988
0.072998,0.0030043
0.073486,0.0030043
0.073975,0.0063184
0.074524,0.0063184
0.075012,0.0063184
0.0755,-0.00030988
0.075989,-0.0069382
0.076477,-0.00030988
0.077026,-0.00030988
0.077515,0.0030043
0.078003,-0.0069382
0.078491,0.0063184
0.078979,0.0030043
0.079468,0.0030043
0.080017,0.0030043
0.080505,-0.00030988
0.080994,0.0030043
0.081482,0.0030043
0.08197,-0.0069382
0.08252,0.0096325
0.083008,0.0096325
0.083496,0.016261
0.083984,0.0063184
0.084473,-0.003624
0.085022,-0.010252
0.08551,0.0030043
0.085999,-0.003624
0.086487,0.0063184
0.086975,0.0030043
0.087524,0.0030043
0.088013,0.0030043
0.088501,-0.020195
0.088989,-0.003624
0.089478,-0.00030988
0.090027,-0.0069382
0.090515,0.0063184
0.091003,0.0063184
0.091492,0.0096325
0.09198,0.0063184
0.092468,0.0063184
0.093018,-0.010252
0.093506,-0.00030988
0.093994,0.0030043
0.094482,0.0030043
0.094971,0.0063184
0.09552,0.0030043
0.096008,-0.003624
0.096497,0.0063184
0.096985,-0.00030988
0.097473,-0.026823
0.098022,-0.00030988
0.098511,-0.00030988
0.098999,0.0030043
0.099487,0.0030043
0.099976,0.0063184
0.10052,0.0063184
0.10101,0.0030043
0.1015,-0.020195
0.10199,-0.010252
0.10248,-0.00030988
0.10303,-0.020195
0.10352,0.0096325
0.104,-0.00030988
0.10449,0.0030043
0.10498,0.0063184
0.10547,0.0030043
0.10602,0.0030043
0.10651,0.0030043
0.10699,0.0063184
0.10748,0.0096325
0.10797,0.012947
0.10852,-0.00030988
0.10901,0.0030043
0.1095,0.0063184
0.10999,0.0030043
0.11047,0.0063184
0.11102,-0.003624
0.11151,0.0030043
0.112,0.0063184
0.11249,0.0030043
0.11298,0.0030043
0.11353,-0.00030988
0.11401,-0.00030988
0.1145,0.0063184
0.11499,0.0030043
0.11548,0.0063184
0.11603,0.0096325
0.11652,-0.00030988
0.117,0.0030043
0.11749,-0.04008
0.11798,0.0030043
0.11847,-0.00030988
0.11902,0.0096325
0.11951,0.012947
0.12,0.0063184
0.12048,0.0030043
0.12097,0.0063184
0.12152,-0.0069382
0.12201,-0.003624
0.1225,0.0063184
0.12299,0.0063184
0.12347,0.029517
0.12402,0.0063184
0.12451,0.0063184
0.125,-0.00030988
0.12549,0.0030043
0.12598,0.0030043
0.12653,0.0030043
0.12701,0.0063184
0.1275,0.0096325
0.12799,-0.00030988
0.12848,0.0063184
0.12897,0.0030043
0.12952,0.0030043
0.13,0.0063184
0.13049,0.0030043
0.13098,0.0030043
0.13147,0.0030043
0.13202,0.0030043
0.13251,0.0096325
0.133,0.0030043
0.13348,0.0030043
0.13397,-0.003624
0.13452,0.0063184
0.13501,0.0030043
0.1355,0.0030043
0.13599,0.0030043
0.13647,0.0096325
0.13702,0.0063184
0.13751,-0.00030988
0.138,0.0063184
0.13849,-0.0069382
0.13898,0.0030043
0.13953,0.0030043
0.14001,-0.00030988
0.1405,0.0063184
0.14099,0.0030043
0.14148,0.0030043
0.14197,0.0030043
0.14252,0.0030043
0.14301,0.0030043
0.14349,0.0063184
0.14398,-0.023509
0.14447,0.0030043
0.14502,0.0030043
0.14551,0.0030043
0.146,0.0063184
0.14648,0.0030043
0.14697,-0.00030988
0.14752,-0.00030988
0.14801,0.0063184
0.1485,0.0030043
0.14899,0.0063184
0.14948,0.0030043
0.15002,0.0030043
0.15051,0.0030043
0.151,0.0030043
0.15149,0.0063184
0.15198,0.0063184
0.15253,0.0063184
0.15302,0.0030043
0.1535,0.0030043
0.15399,0.0030043
0.15448,0.0030043
0.15497,0.0030043
0.15552,-0.010252
